 3944 ---      127083 127548 466 3944halliday       
 3963 ---      127549 128013 465 3963paradzhanov    
 3968 ---      128014 128396 383 3968koptelov       
 3999 ---      128397 128787 391 3999aristarchus    
 4002 ---      128788 129246 459 4002shinagawa      
 4005 ---      129247 129771 525 4005dyagilev       
 4006 ---      129772 130212 441 4006sandler        
 4025 ---      130213 130694 482 4025ridley         
 4031 ---      130695 131114 420 4031mueller        
 4038 ---      131115 131596 482 4038kristina       
 4062 ---      131597 132075 479 4062schiaparelli   
 4085 ---      132076 132524 449 4085weir           
 4104 ---      132525 132988 464 4104alu            
 4145 ---      132989 133457 469 4145maximova       
 4147 ---      133458 133867 410 4147lennon         
 4156 ---      133868 134380 513 4156               
 4159 ---      134381 134885 505 4159freeman        
 4165 ---      134886 135363 478 4165didkovskij     
 4179 ---      135364 135810 447 4179toutatis       
 4215 ---      135811 136247 437 4215kamo           
 4219 ---      136248 136738 491 4219nakamura       
 4282 ---      136739 137194 456 4282endate         
 4353 ---      137195 137587 393 4353onizaki        
 4370 ---      137588 138030 443 4370dickens        
 4373 ---      138031 138492 462 4373crespo         
 4376 ---      138493 138956 464 4376shigemori      
 4440 ---      138957 139366 410 4440tchantches     
 4510 ---      139367 139794 428 4510shawna         
 4546 ---      139795 140250 456 4546franck         
 4562 ---      140251 140734 484 4562               
 4606 ---      140735 141201 467 4606saheki         
 4635 ---      141202 141647 446 4635rimbaud        
 4640 ---      141648 142129 482 4640hara           
 4673 ---      142130 142627 498 4673bortle         
 4761 ---      142628 143092 465 4761urrutia        
 4939 ---      143093 143570 478 4939               
 4948 ---      143571 144052 482 4948               
 4956 ---      144053 144468 416 4956noymer         
 5065 ---      144469 144879 411 5065johnstone      
 5118 ---      144880 145373 494 5118elnapoul       
 5143 ---      145374 145830 457 5143heracles       
 5145 ---      145831 146343 513 5145pholus         
 7341 1991 VK  146344 146818 475 7341               
 7474 1992 TC  148644 149056 413 7474               
 8176 1991 WA  146819 147258 440 8176               
11066 1992 CC1 147712 148116 405 11066              
    0 1991 XB  147259 147711 453 1991xb             
    0 1992 NA  148117 148643 527 1992na             
    0 1992 UB  149057 149423 367 1992ub             
